ModuleId,ModuleName,SortOrder,AddressName,DBNumber,StartAddress,DataType,BitPosition,Writable,Readable,ShowInUI,SubGroup,UIOrder,ControlType,UILabel,Tooltip,StyleKey,Unit,DecimalPlaces,MinValue,MaxValue,Description,IsAlarmSignal,AlarmTriggerOnHigh,AlarmLevel,AlarmShowPopup,AlarmPlaySound,AlarmSuggestedAction
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴负点动,3,2700,Bit,0,TRUE,TRUE,TRUE,点动控制,1,JogButton,负点动,X轴负向点动(按住触发),,,,,,负向点动控制,FALSE,TRUE,Error,FALSE,FALSE,
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴正点动,3,2700,Bit,1,TRUE,TRUE,TRUE,点动控制,0,JogButton,正点动,X轴正向点动(按住触发),,,,,,正向点动控制,FALSE,TRUE,Error,FALSE,FALSE,
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴使能关,3,2700,Bit,2,TRUE,TRUE,TRUE,使能控制,0,ToggleButton,使能开关,X轴使能开关,,,,,,使能控制开关,FALSE,TRUE,Error,FALSE,FALSE,
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴报警标志,3,2700,Bit,3,FALSE,TRUE,FALSE,系统状态,0,Indicator,报警标志,报警标志,,,,,,报警标志位,TRUE,TRUE,Error,TRUE,TRUE,检查设备状态并排除故障
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴使能完成,3,2700,Bit,4,FALSE,TRUE,TRUE,使能控制,1,Indicator,使能完成,X轴使能完成标志,,,,,,使能完成反馈,FALSE,TRUE,Error,FALSE,FALSE,
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴运行速度,3,2702,Int16,0,TRUE,TRUE,TRUE,速度参数,0,NumberInput,运行速度,X轴运行速度设定值,,mm/s,0,0,3000,运行速度参数,FALSE,TRUE,Error,FALSE,FALSE,
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴运行倍率,3,2704,Int16,0,TRUE,TRUE,TRUE,速度参数,1,NumberInput,运行倍率,X轴运行倍率设定值,,%,0,0,200,运行倍率参数,FALSE,TRUE,Error,FALSE,FALSE,
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴当前位置,3,2706,Float,0,FALSE,TRUE,TRUE,状态标志,0,NumberDisplay,当前位置,X轴当前实际位置反馈值,,mm,2,-9999,9999,当前位置反馈,FALSE,TRUE,Error,FALSE,FALSE,
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴手动启动初始放料位,3,2710,Bit,0,TRUE,TRUE,TRUE,手动启动,0,JogButton,启动初始放料位,启动到初始放料位(按住触发),,,,,,手动启动到初始放料位,FALSE,TRUE,Error,FALSE,FALSE,
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴手动启动出料位,3,2710,Bit,1,TRUE,TRUE,TRUE,手动启动,1,JogButton,启动出料位,启动到出料位(按住触发),,,,,,手动启动到出料位,FALSE,TRUE,Error,FALSE,FALSE,
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴初始放料位,3,2712,Float,0,TRUE,TRUE,TRUE,位置参数,0,NumberInput,初始放料位,初始放料位置设定值,,mm,2,-9999,9999,初始放料位参数,FALSE,TRUE,Error,FALSE,FALSE,
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴出料位,3,2716,Float,0,TRUE,TRUE,TRUE,位置参数,1,NumberInput,出料位,出料位置设定值,,mm,2,-9999,9999,出料位参数,FALSE,TRUE,Error,FALSE,FALSE,
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴急停指示,3,2720,Bit,0,FALSE,TRUE,FALSE,系统状态,1,Indicator,急停指示,急停指示,,,,,,急停状态,TRUE,TRUE,Critical,TRUE,TRUE,解除急停后重新启动
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴寸动,3,2720,Bit,1,TRUE,TRUE,TRUE,点动控制,2,JogButton,寸动,X轴寸动控制(按住触发),,,,,,寸动控制,FALSE,TRUE,Error,FALSE,FALSE,
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴伺服未准备好,3,2720,Bit,2,FALSE,TRUE,FALSE,系统状态,2,Indicator,伺服准备好,伺服准备好,,,,,,伺服就绪状态,TRUE,FALSE,Warning,FALSE,FALSE,检查伺服器连接
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴已到达正极限,3,2720,Bit,3,FALSE,TRUE,FALSE,系统状态,3,Indicator,已到达正极限,已到达正极限,,,,,,正极限状态,TRUE,TRUE,Error,TRUE,TRUE,停止设备并检查位置
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴已到达负极限,3,2720,Bit,4,FALSE,TRUE,FALSE,系统状态,4,Indicator,已到达负极限,已到达负极限,,,,,,负极限状态,TRUE,TRUE,Error,TRUE,TRUE,停止设备并检查位置
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴手动回原点,3,2720,Bit,5,TRUE,TRUE,TRUE,手动启动,2,JogButton,手动回原点,手动回原点(按住触发),,,,,,手动回原点控制,FALSE,TRUE,Error,FALSE,FALSE,
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴手动启动检测位,3,2720,Bit,6,TRUE,TRUE,TRUE,手动启动,3,JogButton,启动检测位,启动到检测位(按住触发),,,,,,手动启动到检测位,FALSE,TRUE,Error,FALSE,FALSE,
LargeTrayFeedingXAxis,大料盘放料X轴,1,大料盘放料X轴手动启动进料位,3,2720,Bit,7,TRUE,TRUE,TRUE,手动启动,4,JogButton,启动进料位,启动到进料位(按住触发),,,,,,手动启动到进料位,FALSE,TRUE,Error,FALSE,FALSE,
